",""smiles"""
"41,""CO[P](=S)(OC)Oc1ccc(Sc2ccc(O[P](=S)(OC)OC)cc2)cc1"""
"42,""[K+].[K+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O"""
"43,""[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O"""
"44,""CCCS[P](=S)(OCC)Oc1ccc(SC)cc1"""
"45,""CCC(C)(O)C#C"""
"46,""[Cd++].[O-][S]([O-])(=O)=O"""
"47,""[Cl-].[Cl-].[Ca++]"""
"48,""CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O"""
"49,""COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C"""
"50,""CC(Cl)(Cl)C(O)=O"""
"51,""[Cu]"""
"52,""CCCCNC(=O)OCC#CI"""
53,NA
"54,""ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl"""
"55,""[Na+].[Na+].[O-][S](=O)(=O)c1ccccc1\C=C/c2ccc(cc2)c3ccc(cc3)\C=C/c4ccccc4[S]([O-])(=O)=O"""
"56,""CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC"""
"57,""O(|[U](|O[N+]([O-])=O)(=O)=O)[N+]([O-])=O"""
58,NA
"59,""[nH]1c2ccccc2nc1c3cscn3"""
60,NA
"61,""Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl"""
"62,""CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl"""
"63,""CCN(CC)C(=O)\C(Cl)=C(/C)O[P](=O)(OC)OC"""
"64,""[Na+].[O-]Cl"""
"65,""CCC(Cl)Cl"""
66,NA
"67,""Clc1cccc(Cl)c1C#N"""
"68,""CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2"""
"69,""NC(=O)N1c2ccccc2C=Cc3ccccc13"""
"70,""[Cl-].[Cl-].[Cu++]"""
"71,""OC(=O)COc1ccc(Cl)cc1Cl"""
"72,""C=O"""
"73,""ClCCCl"""
"74,""CO[P](=S)(Oc1cc(Cl)c(Br)cc1Cl)c2ccccc2"""
"75,""N#Cc1ccccn1"""
"76,""[Cu++].CC([O-])=O.CC([O-])=O"""
"77,""[Hg]"""
"78,""O=C1c2ccccc2C(=O)c3ccccc13"""
"79,""COc1cc(C=O)ccc1O"""
"80,""[Na+].[C-]#N"""
"81,""CCNc1nc(NC(C)C(C)C)nc(SC)n1"""
"82,""NCl"""
"83,""CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O"""
"84,""ClCC1(CCl)C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl"""
"85,""[K+].[S-]C#N"""
"86,""Oc1cccc2C(=O)C=CC(=O)c12"""
"87,""[Cl-].[Cl-].[Hg++]"""
"88,""[Cl-].[Cl-].Cc1cc(N=Nc2ccc(C)c(c2)N=Nc3cc(C)c([NH3+])cc3N)c(N)cc1[NH3+]"""
"89,""CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1"""
"90,""CCCCCCO"""
"91,""[Zn++].[O-][S]([O-])(=O)=O"""
"92,""[Cl-].[Cl-].[Zn++]"""
"93,""CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O"""
"94,""CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2"""
"95,""CC(C)(C)OO"""
"96,""COc1cc(O)c(C=O)c(OC)c1"""
"97,""Oc1ccc(Cl)cc1"""
"98,""NCCO.Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O"""
"99,""CCSC(=O)N1CCCCCC1"""
"100,""CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1"""
"101,""CCOCCOCCO"""
"102,""[Cl].[Cu++]"""
"103,""[NH4+].N[S]([O-])(=O)=O"""
"104,""CNC(=O)O\N=C(/C)SC"""
"105,""Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O"""
"106,""CC(C)(C)CC(C)(C)c1ccc(O)cc1"""
"107,""CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl"""
"108,""CCCCCCCCCCCCOCCO"""
"109,""c1ccc2c(c1)c3cccc4cccc2c34"""
"110,""ClC(Cl)Cl"""
"111,""CCCCS[P](=O)(SCCCC)SCCCC"""
"112,""CO[P](=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl"""
"113,""CCC(=O)OCCc1ccccc1.COc2cc(CC=C)ccc2O"""
"114,""[Ni++].[O-][S]([O-])(=O)=O"""
"115,""N"""
"116,""ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl"""
"117,""CO[P](=S)(OC)Oc1ccc(SC)c(C)c1"""
"118,""ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl"""
"119,""[Na+].[Na+].[Na+].[O-]C(=O)CN(CC([O-])=O)CC([O-])=O"""
"120,""[Pb++].[O-][N+]([O-])=O.[O-][N+]([O-])=O"""
"121,""[NH4+].[Cl-]"""
"122,""ClCCCCl"""
"123,""[Ti+3].[Ti+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O"""
"124,""Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl"""
"125,""c1ccc2ccccc2c1"""
"126,""[Cd++]"""
"127,""CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C"""
"128,""ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl"""
"129,""Oc1ccc(cc1)[N+]([O-])=O"""
"130,""ClC1=CNC(=O)C=C1"""
"131,""CCCCCCOC(=O)C=C"""
"132,""CCCCCCCCCCCCCCCCCCCCCC"""
"133,""COc1cccc(C=O)c1O"""
"134,""ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl"""
"135,""CCCCO"""
"136,""Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C"""
"137,""COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O"""
138,NA
"139,""CNC.OC(=O)COc1ccc(Cl)cc1Cl"""
"140,""CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C"""
"141,""OC(=O)CNC[P](O)(O)=O"""
"142,""CCN(CC)C(=O)C(C)Oc1cccc2ccccc12"""
"143,""O=[S]1(=O)CCCC1"""
"144,""CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O"""
"145,""[K+].[C-]#N"""
"146,""ClCCl"""
"147,""CNC(=O)CS[P](=S)(OC)OC"""
"148,""CC(C)N.OC(=O)CNC[P](O)(O)=O"""
"149,""CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O"""
"150,""CCN(CC)CC.OC(=O)COc1nc(Cl)c(Cl)cc1Cl"""
"151,""[nH]1c2ccccc2c3ccccc13"""
"152,""CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O"""
"153,""CC(C)O[P](C)(=O)OC(C)C"""
"154,""CCOC(C)=O"""
155,NA
"156,""Cc1ccccc1"""
"157,""CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2"""
"158,""[Na+].[Na+].[O-]C(=O)[C@@H]1[C@H]2O[C@H](C=C2)[C@@H]1C([O-])=O"""
"159,""Oc1ccccc1O"""
"160,""ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl"""
"161,""ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O"""
"162,""CC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2"""
"163,""[Na+].[Cl-]"""
"164,""CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O"""
"165,""Clc1cc(Cl)cc(c1)c2cc(Cl)cc(Cl)c2"""
"166,""[Na+].[Na+].[Na+].[O-]C(=O)COC(CC([O-])=O)C([O-])=O"""
"167,""CCCCOCCOCCSC#N"""
"168,""[Na+].[O-][As]=O"""
"169,""[Na+].OC(=O)CN(CC(O)=O)CC([O-])=O"""
"170,""[Cu++].[O-][N+]([O-])=O.[O-][N+]([O-])=O"""
"171,""CCOCCOC(C)=O"""
"172,""[Na+].CC[Hg]Sc1ccccc1C([O-])=O"""
"173,""[Na+].Cc1ccc(cc1)[S](=O)(=O)[N-]Cl"""
174,NA
"175,""CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C"""
"176,""Nc1c(F)c(F)c(F)c(F)c1F"""
"177,""Oc1ccc(Cl)cc1Cl"""
"178,""ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl"""
"179,""ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl"""
"180,""[Tl+].[Tl+].[O-][S]([O-])(=O)=O"""
"181,""CNC(=O)Oc1ccc(N(C)C)c(C)c1"""
"182,""CO[P](=S)(OC)SCC(=O)N(C)C=O"""
"183,""Br[Hg]c1ccccc1"""
"184,""CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O"""
"185,""[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC"""
"186,""ClC(Cl)(Cl)Cl"""
"187,""CCCCOC(=O)c1ccccc1C(=O)OCCCC"""
"188,""CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2"""
"189,""CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C"""
"190,""ClC\C=C/Cl"""
"191,""CCN(CC)C(=O)SCc1ccc(Cl)cc1"""
"192,""[Na+].[Na+].[O-][S](=O)(=O)c1cc(Nc2nc(Nc3ccccc3)nc(n2)N4CCOCC4)ccc1/C=C/c5ccc(Nc6nc(Nc7ccccc7)nc(n6)N8CCOCC8)cc5[S]([O-])(=O)=O"""
"193,""ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl"""
"194,""CCCCCCCCCc1ccc(O)cc1"""
"195,""CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C"""
"196,""COC(=O)c1ccccc1N"""
"197,""O=Cc1occc1"""
"198,""CCO[P](=S)(OCC)SCSC(C)(C)C"""
"199,""CCCCCCCCCc1ccc(OCCOCCO)cc1"""
"200,""[Cl-].CN(C)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(C)C"""
"201,""[K+].[K+].[O-][Cr]([O-])(=O)=O"""
"202,""BrCC(Br)CO[P](=O)(OCC(Br)CBr)OCC(Br)CBr"""
"203,""OCCNCCO"""
"204,""Cc1cccc2ccccc12"""
"205,""O(|[Sn](CCCC)(CCCC)CCCC)|[Sn](CCCC)(CCCC)CCCC"""
206,NA
"207,""O[S](=O)(=O)c1ccc2ccccc2c1"""
"208,""CC(N)CN"""
"209,""c1ccccc1"""
"210,""NN"""
"211,""CCCCCCCC\C=C/CCCOC(C)=O"""
"212,""[Na+].[Na+].[O-][Cr]([O-])(=O)=O"""
"213,""CON(C)C(=O)Nc1ccc(Cl)cc1"""
"214,""[Na+].C[As](O)([O-])=O"""
"215,""CCC(=O)Nc1ccc(Cl)c(Cl)c1"""
"216,""CCOCC"""
"217,""C[S](=O)(=O)c1cc(ccc1C(=O)c2cnoc2C3CC3)C(F)(F)F"""
"218,""[Pb++].CC([O-])=O.CC([O-])=O"""
219,NA
"220,""CCNc1nc(NC(C)CC)nc(OC)n1"""
"221,""CCNc1nc(Cl)nc(NC(C)(C)C)n1"""
"222,""CNC(=O)O\N=C(/C)SCCC#N"""
"223,""[Fe]"""
"224,""CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C"""
"225,""OC(=O)COc1nc(Cl)c(Cl)cc1Cl"""
"226,""Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1"""
"227,""[Cl-].[Cl-].C[n+]1ccc(cc1)c2cc[n+](C)cc2"""
"228,""CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3"""
"229,""CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl"""
230,NA
"231,""Oc1ccc(O)cc1"""
"232,""[Zn]"""
"233,""CCO[P](=S)(OCC)Oc1cnc2ccccc2n1"""
"234,""[Br-].[Br-].C1C[n+]2ccccc2c3cccc[n+]13"""
"235,""CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O"""
"236,""[Na+].C[As](C)([O-])=O"""
"237,""[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])([O-])=O"""
"238,""COC1=NN(CS[P](=S)(OC)OC)C(=O)S1"""
"239,""CC(C)c1ccc(C)cc1O"""
"240,""[Na+].[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"""
"241,""CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C"""
"242,""COC(=O)c1ccccc1[S](=O)(=O)NC(=O)N(C)c2nc(C)nc(OC)n2"""
"243,""[Na+].[O-]N=O"""
"244,""[Na+].[O-]c1nc(Cl)c(Cl)cc1Cl"""
"245,""CCC1CCCCC1"""
"246,""CC[Sn](CC)(CC)CC"""
"247,""CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC"""
"248,""CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C"""
249,NA
"250,""OC1=C(Oc2ccccc2C1=O)c3ccccc3"""
"251,""Cc1ccc(O)c(C)c1"""
"252,""CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C"""
"253,""Clc1nc(Cl)nc(Nc2ccccc2Cl)n1"""
254,NA
"255,""CC1=C(SCCO1)C(=O)Nc2ccccc2"""
"256,""CCC(C)c1ccccc1OC(=O)NC"""
"257,""Clc1ccccc1Cl"""
"258,""[Na+].[Na+].[O-][Se]([O-])=O"""
"259,""Oc1c(cccc1[N+]([O-])=O)C(=O)Nc2cccc(Cl)c2"""
"260,""[nH]1cccc1"""
"261,""[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O"""
"262,""Nc1n(nc(C#N)c1[S](=O)C(F)(F)F)c2c(Cl)cc(cc2Cl)C(F)(F)F"""
263,NA
"264,""CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1"""
"265,""[Na+].[Br-]"""
"266,""[Se]"""
"267,""OC(=O)COc1ccc(Cl)cc1"""
"268,""OC(=O)CCCOc1ccc(Cl)cc1Cl"""
269,NA
270,NA
"271,""CCCCOC(=O)COc1ccc(Cl)cc1Cl"""
"272,""Clc1ccccc1"""
"273,""CCOC(=O)C(S[P](=S)(OC)OC)c1ccccc1"""
"274,""C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O"""
"275,""OBr"""
"276,""CCNc1nc(Cl)nc(NCC)n1"""
"277,""N.O[V](=O)=O"""
"278,""COC(=O)c1ccc(Cl)cc1[N+]([O-])=O"""
"279,""[Cu].CC(O)=O"""
"280,""CCNc1nc(Cl)nc(NC(C)C)n1"""
"281,""CCOc1ccc(C=O)cc1"""
"282,""CO[P](=O)(OC)OC(/C)=C/C(=O)OC(C)c1ccccc1"""
"283,""OCCN(CCO)c1nc(Nc2ccccc2)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccccc6)nc(n5)N(CCO)CCO)cc4[S](O)(=O)=O)c(c3)[S](O)(=O)=O)n1"""
"284,""Nc1ccc(Cl)c(Cl)c1"""
"285,""COC(=O)c1c(CC(C)C)c(C2=NCCS2)c(nc1C(F)F)C(F)(F)F"""
"286,""[Fe+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S"""
"287,""[Cd++].O[N+]([O-])=O.O[N+]([O-])=O"""
"288,""ClC(Cl)=C(Cl)Cl"""
"289,""Cc1occc1"""
"290,""O=Cc1ccccc1"""
291,NA
"292,""[Al+3].CCO[P](=O)=O.CCO[P](=O)=O.CCO[P](=O)=O"""
"293,""CC(C)OC(=O)Nc1ccccc1"""
"294,""CCc1cccc(CC)c1N(COC)C(=O)CCl"""
"295,""ClCCO[P](=O)(OCCCl)OCCCl"""
"296,""Oc1ccccc1"""
"297,""CN(C)C(=O)Nc1cccc(c1)C(F)(F)F"""
"298,""Clc1ccc(Cl)c(Cl)c1"""
"299,""[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"""
"300,""CC[S](=O)CS[P](=S)(OC(C)C)OC(C)C"""
"301,""ClC(Cl)(Cl)C(Cl)(Cl)Cl"""
"302,""CN(C)[P](=O)(O[P](=O)(N(C)C)N(C)C)N(C)C"""
"303,""CNC(=O)Oc1cc(C)c(SC)c(C)c1"""
"304,""CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1"""
"305,""CCOC(=O)COc1cc(c(F)cc1Cl)c2nn(C)c(OC(F)F)c2Cl"""
306,NA
"307,""O=[Se]=O"""
"308,""[NH4+].[NH4+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O"""
309,NA
"310,""[K+].[K+].[O-]C(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I"""
"311,""ClCC1CO1"""
"312,""[NH4+].CCO[P]([O-])(=O)C(N)=O"""
313,NA
"314,""ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl"""
"315,""Oc1cc(Cl)c(Cl)cc1Cl"""
"316,""OCl"""
"317,""[P]"""
318,NA
"319,""CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3"""
320,NA
"321,""CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl"""
"322,""[Na+].[O-][N+]([O-])=O"""
"323,""CCO[P](=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12"""
"324,""[Ag]"""
"325,""CC1(C)CC(=O)CC(C)(C)N1[O]"""
326,NA
"327,""CCCCCCCCO"""
"328,""COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC"""
"329,""CCCCCCCCCCCC(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"""
"330,""CCCCOC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl"""
"331,""NCCO"""
"332,""CCNc1nc(NC(C)C)nc(SC)n1"""
"333,""CCCCCCCCCCCCN=C(N)N.CC(O)=O"""
"334,""CCOC(=O)c1cncn1C(C)c2ccccc2"""
"335,""CC(C)CCCCCCc1ccc(O)cc1"""
336,NA
"337,""CC(=O)OCCOC(C)=O"""
"338,""CC(=O)CC(=O)c1ccccc1"""
"339,""CC1CCCCC1"""
"340,""CO[P](=O)(OC)OC=C(Cl)Cl"""
"341,""O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3"""
"342,""CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12"""
"343,""C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1"""
"344,""O.[Hg+].[O-][N](=O)=O"""
345,NA
"346,""[O-][P-]([O-])=O"""
"347,""[Ca++].[O-]Cl.[O-]Cl"""
"348,""CNC(=O)Oc1cc(C)cc(C)c1C"""
"349,""CCO[P](=S)(OCC)SC1OCCOC1S[P](=S)(OCC)OCC"""
"350,""[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1"""
351,NA
"352,""CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2"""
353,NA
"354,""[Zn++].[S-]C(=S)NCCNC([S-])=S"""
"355,""[nH]1cncn1"""
"356,""CCc1cccc(C)c1N(C(C)COC)C(=O)CCl"""
"357,""Oc1c(Cl)cc(Cl)c(Cl)c1Cl"""
"358,""COC(=O)C(C)=C"""
"359,""C1CN(CCO1)C(c2ccccc2)(c3ccccc3)c4ccccc4"""
"360,""CC(C)(c1ccc(O)cc1)c2ccc(O)cc2"""
"361,""CC(O)CC#C"""
"362,""Clc1ccc(Cl)cc1"""
"363,""CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C"""
364,NA
"365,""[Na+].CCCCCCCCCCCCCCCC[S]([O-])(=O)=O"""
366,NA
"367,""Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O"""
368,NA
"369,""CCCO"""
"370,""[K+].[K+].[O-]C(=O)C1C2CCC(O2)C1C([O-])=O"""
"371,""CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl"""
372,NA
"373,""C1CCC=CC1"""
"374,""CCOc1nc(F)cc2nc(nn12)[S](=O)(=O)Nc3c(Cl)cccc3C(=O)OC"""
"375,""ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O"""
"376,""N.N.O[S](O)(=O)=O"""
"377,""CN(C(=O)CF)c1cccc2ccccc12"""
378,NA
"379,""CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC"""
"380,""Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl"""
"381,""N.OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"""
"382,""O[N+]([O-])=O"""
"383,""[Na+].[Na+].[SH-]"""
"384,""Cc1cccc(C)c1"""
"385,""CCCS[P](=O)(OCC)Oc1ccc(Br)cc1Cl"""
"386,""[O-][N+](=O)c1cccc(c1)[N+]([O-])=O"""
387,NA
"388,""[O-][N+](=O)c1cc(c(Cl)cc1Cl)[N+]([O-])=O"""
"389,""[K+].[O-]C(=O)COc1ccc(Cl)cc1Cl"""
"390,""[Na+].CCCCCCCCCCO[S]([O-])(=O)=O"""
"391,""OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl"""
"392,""Cc1ccccc1[N+]([O-])=O"""
"393,""[Be++].[Cl-].[Cl-]"""
"394,""CCOC(=O)c1ccc(N)cc1"""
"395,""O=[As](=O)O[As](=O)=O"""
"396,""CC(C(O)c1ccc(O)cc1)N2CCC(CC2)Cc3ccccc3"""
"397,""ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H](C=C4)[C@H]3[C@@]1(Cl)C2(Cl)Cl"""
"398,""Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"""
"399,""[Na+].CCCCCCCCCCCCCCO[S]([O-])(=O)=O"""
"400,""Oc1c(Br)c(Br)c(Br)c(Br)c1Br"""
401,NA
"402,""CC(C)N(C(=O)CCl)c1ccccc1"""
"403,""CN(C)C(=S)SSC(=S)N(C)C"""
"404,""Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O"""
"405,""[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O"""
406,NA
407,NA
"408,""CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1"""
"409,""CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC"""
410,NA
"411,""OC(CC=C)C=C"""
"412,""CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC"""
"413,""[O--].[O--].[O--].[As+3].[As+3]"""
"414,""OC(=O)COc1cc(Cl)c(Cl)cc1Cl"""
"415,""C1COCCN1"""
"416,""C[n+]1ccc(cc1)c2cc[n+](C)cc2"""
"417,""CN1C=C(c2ccccc2)C(=O)C(=C1)c3cccc(c3)C(F)(F)F"""
"418,""CN(C)c1ccc(\C=C\C=O)cc1"""
"419,""CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl"""
"420,""Clc1ccccc1C=C(C#N)C#N"""
"421,""CCSC(=O)N(CC(C)C)CC(C)C"""
"422,""OCCCCCCCCF"""
"423,""CCCCO[P](=O)(OCCCC)OCCCC"""
"424,""CON(C)C(=O)Nc1ccc(Br)c(Cl)c1"""
"425,""NC(N)=N[N+]([O-])=O"""
"426,""CCCC(=O)Oc1c(Br)cc(cc1Br)C#N"""
"427,""CCOc1ccc2NC(C)(C)C=C(C)c2c1"""
"428,""[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC"""
